Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
580000,2024,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Très bon,17499,8
540000,2021,Automatique,Essence,Jeep,Wrangler,5,Non,Excellent,72499,9
470200,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Très bon,114999,10
680000,2020,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,72499,12
555000,2024,Automatique,Essence,Audi,A6,5,Oui,Neuf,2499,8
680000,2019,Automatique,Essence,BMW,X5,5,Oui,Excellent,37499,12
670000,2019,Automatique,Essence,Porsche,Cayenne,5,Oui,Neuf,97499,16
670000,2007,Manuelle,Essence,Toyota,Corolla,5,Oui,Très bon,184999,8
580000,2022,Automatique,Essence,Jeep,Wrangler,5,Oui,Excellent,42499,16
720000,2022,Automatique,Essence,Audi,Q3,5,Non,Neuf,22499,11
3500000,1989,Manuelle,Essence,Peugeot,405,5,Non,Très bon,324999,7
1550000,2022,Automatique,Essence,BMW,X6,5,Oui,Excellent,7499,41
490000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,97499,8
690000,2022,Automatique,Essence,Audi,A6,5,Oui,Excellent,87499,8
655000,2018,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,77499,17
475000,2023,Automatique,Essence,Land Rover,Range Rover Evoque,5,Oui,Excellent,67499,8
490000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Non,Excellent,124999,8
700000,2019,Automatique,Essence,Audi,Q8,5,Oui,Neuf,114999,12
670000,2019,Automatique,Essence,Land Rover,Range Rover Sport,5,Non,Très bon,104999,12
900000,2010,Manuelle,Essence,Audi,A3,5,Non,Très bon,124999,8
580000,2023,Automatique,Essence,Audi,Q7,5,Oui,Excellent,27499,12
470000,2021,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,92499,11
840000,2023,Automatique,Electrique,Mercedes-Benz,EQE,5,Oui,Excellent,22499,16
660000,2021,Automatique,Essence,Audi,Q5,5,Non,Excellent,72499,9
485000,2020,Automatique,Essence,Volkswagen,Tiguan,5,Non,Très bon,72499,8
550000,2019,Automatique,Essence,Porsche,Macan,5,Non,Très bon,82499,11
480000,2021,Automatique,Essence,Jeep,Wrangler,5,Non,Excellent,47499,9
685000,2019,Automatique,Essence,Audi,Q8,5,Non,Excellent,124999,12
560000,2020,Automatique,Essence,BMW,X4,5,Oui,Excellent,87499,8
560000,2023,Automatique,Essence,Ford,raptor,5,Oui,Excellent,27499,9
480000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,104999,8
970000,2019,Automatique,Essence,Lexus,LS,5,Oui,Excellent,52499,20
530000,2023,Automatique,Essence,Audi,Q3,5,Non,Excellent,87499,8
1240000,2017,Automatique,Essence,Fiat,500,3,Oui,Excellent,82499,6
560000,2024,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Neuf,7499,8
630000,2018,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,144999,17
490000,2019,Automatique,Essence,Mercedes-Benz,260,5,Non,Très bon,134999,8
490000,2019,Automatique,Essence,Mercedes-Benz,260,5,Non,Très bon,134999,8
485000,2022,Automatique,Essence,BMW,X3,5,Oui,Excellent,42499,8
515000,2022,Automatique,Electrique,Tesla,Model Y,5,Non,Excellent,37499,13
890000,2022,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,62499,17
750000,2010,Manuelle,Essence,Hyundai,Santa Fe,5,Oui,Bon,164999,9
510000,2022,Automatique,Essence,Audi,A3,5,Non,Excellent,62499,8
500000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,114999,41
490000,2023,Automatique,Essence,Land Rover,Range Rover Evoque,5,Non,Excellent,52499,8
650000,2020,Automatique,diesel,Mercedes-Benz,300,5,Non,Excellent,104999,8
580000,2022,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,72499,9
540000,2023,Automatique,Essence,Land Rover,Range Rover Evoque,5,Oui,Excellent,22499,8
540000,2023,Automatique,Essence,Land Rover,Range Rover Evoque,5,Oui,Excellent,22499,8
550000,2015,Manuelle,Essence,Land Rover,Defender,5,Non,Excellent,194999,8
530000,2023,Automatique,Essence,Kia,Carnival,5,Oui,Excellent,2499,9
550000,2023,Automatique,Essence,Audi,A3,5,Oui,Excellent,37499,8
650000,2022,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,62499,8
740000,2024,Automatique,Essence,Volkswagen,Tiguan,5,Non,Excellent,7499,8
813700,2019,Automatique,Essence,Porsche,Cayenne,5,Non,Excellent,134999,41
500000,2018,Automatique,Essence,Land Rover,Range Rover,5,Oui,Excellent,104999,12
750000,2019,Automatique,Essence,Audi,Q8,5,Oui,Excellent,134999,14
680000,2021,Automatique,Essence,Jeep,Wrangler,5,Oui,Excellent,27499,16
650000,2020,Automatique,Essence,BMW,X6,5,Oui,Excellent,97499,17
495000,2018,Automatique,Essence,Porsche,Macan,5,Non,Excellent,144999,12
800000,2023,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,27499,12
750000,2023,Automatique,Essence,Audi,Q3,5,Oui,Neuf,47499,14
750000,2020,Automatique,Essence,Audi,Q8,5,Oui,Excellent,114999,11
600000,2023,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,22499,22
600000,2023,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,22499,22
685000,2024,Automatique,Essence,Volkswagen,Touareg,5,Oui,Neuf,2499,16
580000,2019,Automatique,Essence,Land Rover,Range Rover Sport,5,Non,Excellent,124999,12
720000,2022,Automatique,Essence,Maserati,Levante,5,Non,Neuf,104999,6
580000,2019,Automatique,Essence,Land Rover,Range Rover Sport,5,Non,Excellent,124999,12
750000,2024,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,32499,8
480000,2021,Automatique,Essence,Jeep,Wrangler,5,Non,Bon,62499,9
720000,2019,Automatique,Essence,Porsche,Cayenne,5,Non,Excellent,104999,4
650000,2023,Automatique,Essence,Maserati,Levante,5,Oui,Excellent,224999,12
470000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Très bon,12499,8
830000,2022,Automatique,Essence,Audi,Q8,5,Oui,Excellent,97499,12
3600000,2017,Automatique,Essence,Maserati,Levante,5,Non,Très bon,134999,41
720000,2020,Automatique,Essence,Audi,Q8,5,Non,Excellent,144999,12
500000,2019,Automatique,Essence,Audi,Q5,5,Oui,Excellent,164999,8
500000,2019,Automatique,Essence,Audi,Q5,5,Oui,Excellent,164999,8
550000,2020,Automatique,Essence,Porsche,Macan,5,Non,Excellent,77499,11
660000,2019,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Bon,144999,12
470000,2021,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,114999,12
640000,2018,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,104999,12
570000,2022,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,52499,12
570000,2022,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,52499,12
585000,2021,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,144999,12
700000,2020,Automatique,Essence,Audi,Q8,5,Oui,Excellent,82499,12
1100000,2015,Manuelle,Essence,Ford,Fiesta,5,Oui,Excellent,144999,6
700000,2020,Automatique,Essence,Audi,Q8,5,Oui,Excellent,82499,12
799000,2025,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Neuf,2499,8
1150000,2021,Manuelle,Essence,Toyota,Yaris,5,Oui,Très bon,27499,4
540000,2023,Automatique,Essence,Land Rover,Range Rover Evoque,5,Oui,Excellent,22499,8
480000,2021,Manuelle,Essence,Volkswagen,Tiguan,5,Non,Excellent,2499,8
580000,2024,Automatique,Electrique,Tesla,Model 3,5,Oui,Excellent,7499,17
580000,2018,Automatique,Essence,Land Rover,Range Rover Sport,5,Non,Excellent,72499,12
620000,2022,Automatique,Essence,Jeep,Wrangler,5,Non,Excellent,32499,11
1950000,2025,Automatique,Essence,Porsche,Cayenne,5,Oui,Neuf,2499,17
1280000,2023,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,12499,12
640000,2022,Automatique,Essence,Audi,A5,5,Oui,Excellent,154999,8
520000,2020,Automatique,Essence,Land Rover,Range Rover Velar,5,Oui,Très bon,92499,8
520000,2022,Automatique,Essence,Audi,Q5,5,Non,Excellent,92499,12
560000,2021,Automatique,Essence,Porsche,Macan,5,Non,Très bon,97499,39
550000,2019,Automatique,Essence,Jaguar,E-Pace,5,Non,Excellent,174999,8
600000,2019,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,72499,11
820000,2020,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,154999,6
550000,2021,Automatique,Essence,Jeep,Wrangler,5,Oui,Excellent,82499,9
490000,2021,Automatique,Essence,Volkswagen,Touareg,5,Non,Bon,72499,8
750000,2022,Automatique,Essence,Audi,A3,5,Oui,Très bon,42499,41
490000,2021,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,134999,12
490000,2021,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,134999,12
1300000,2022,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,27499,17
600000,2020,Automatique,Essence,BMW,X5,5,Oui,Très bon,174999,8
850000,2018,Automatique,Essence,Porsche,Panamera,5,Non,Excellent,97499,41
520000,2021,Automatique,Essence,Audi,Q3,5,Oui,Excellent,124999,8
690000,2019,Automatique,Essence,Audi,Q8,5,Non,Excellent,154999,12
1050000,2023,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,17499,16
530000,2023,Automatique,Essence,Ford,raptor,5,Oui,Très bon,67499,8
640000,2022,Automatique,Essence,Porsche,Macan,5,Oui,Très bon,92499,11
485000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Très bon,92499,8
570000,2019,Automatique,Essence,Audi,Q8,3,Oui,Excellent,144999,12
950000,2021,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,82499,17
740000,2020,Automatique,Essence,Porsche,Macan,5,Non,Excellent,72499,11
1950000,2018,Automatique,Essence,Audi,A3,5,Non,Excellent,154999,8
480000,2021,Automatique,Essence,Volvo,XC90,5,Oui,Très bon,154999,8
570000,2020,Automatique,Essence,Land Rover,Range Rover,5,Oui,Excellent,82499,12
750000,2020,Automatique,Essence,Audi,Q8,5,Oui,Très bon,184999,12
660000,2021,Automatique,Essence,Audi,Q7,5,Oui,Excellent,194999,12
900000,2024,Automatique,Electrique,Mercedes-Benz,EQE,5,Oui,Neuf,2499,24
620000,2024,Automatique,Essence,Land Rover,Range Rover Evoque,5,Oui,Excellent,2499,41
790000,2023,Automatique,Essence,Audi,A3,5,Oui,Excellent,52499,14
1450000,2016,Manuelle,Essence,Ford,Focus,5,Oui,Excellent,114999,6
600000,2018,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,97499,12
680000,2019,Automatique,Essence,Audi,Q8,5,Non,Excellent,154999,12
1200000,2024,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,32499,23
650000,2019,Automatique,Essence,Land Rover,Range Rover Sport,5,Non,Excellent,72499,12
2200000,2018,Automatique,Essence,Jeep,Cherokee,5,Oui,Très bon,174999,8
1150000,2021,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,72499,17
580000,2021,Automatique,Essence,Porsche,Macan,5,Non,Excellent,62499,11
790000,2025,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Neuf,2499,11
480000,2019,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Excellent,184999,12
700000,2019,Automatique,Essence,Porsche,Panamera,5,Oui,Très bon,104999,12
580000,2022,Automatique,Essence,Audi,A6,5,Oui,Excellent,47499,8
2400000,2024,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,17499,23
560000,2021,Automatique,Essence,BMW,X5,5,Oui,Excellent,82499,17
495000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Très bon,22499,8
520000,2020,Automatique,Essence,Audi,Q3,5,Non,Neuf,82499,8
800000,2023,Automatique,Essence,BMW,X5,5,Oui,Excellent,32499,17
549999,2019,Automatique,Electrique,Tesla,Model S,5,Oui,Très bon,47499,27
580000,2022,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,174999,12
580000,2022,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,174999,12
650000,2018,Automatique,Essence,Maserati,Levante,5,Oui,Excellent,194999,12
485000,2022,Automatique,Essence,Audi,A3,5,Oui,Excellent,57499,8
720000,2023,Automatique,Essence,Volvo,XC90,5,Oui,Excellent,17499,11
1160665,2022,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,7499,15
475000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,124999,8
550000,2020,Automatique,Electrique,Tesla,Model S,5,Oui,Excellent,47499,36
1200000,2020,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,92499,22
510000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Non,Excellent,72499,11
600000,2018,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Très bon,17499,41
470000,2022,Automatique,Essence,Jaguar,F-Pace,5,Oui,Excellent,37499,11
480000,2024,Automatique,Essence,Lexus,NX,5,Non,Excellent,12499,10
520000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Très bon,22499,8
530000,2017,Automatique,Essence,Porsche,Cayenne,5,Oui,Excellent,104999,12
2200000,2015,Automatique,Essence,Audi,A3,5,Non,Excellent,174999,8
700000,2020,Automatique,Essence,BMW,X5,5,Oui,Excellent,92499,12
700000,2020,Automatique,Essence,BMW,X5,5,Oui,Excellent,92499,12
550000,2022,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,52499,12
980000,2022,Automatique,Essence,Audi,Q7,5,Oui,Excellent,82499,23
610000,2021,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Très bon,72499,12
550000,2022,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,52499,12
485000,2022,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,67499,8
4200000,2019,Automatique,Essence,Volkswagen,Tiguan,5,Non,Excellent,154999,8
530000,2019,Automatique,Essence,Land Rover,Range Rover Velar,5,Oui,Excellent,62499,8
720000,2023,Automatique,Essence,Mercedes-Benz,220,5,Oui,Excellent,47499,41
540000,2017,Automatique,Essence,Mercedes-Benz,AMG GT,5,Oui,Excellent,77499,7
730000,2022,Automatique,Essence,Audi,Q3,5,Non,Très bon,47499,28
485000,2022,Automatique,Essence,Audi,Q5,5,Oui,Excellent,42499,8
560000,2008,Automatique,Essence,Bentley,Continental GT,3,Non,Très bon,144999,21
560000,2023,Automatique,Essence,Volvo,XC90,5,Oui,Excellent,42499,8
850000,2023,Automatique,Essence,Porsche,Macan,5,Non,Excellent,42499,12
475000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,184999,8
600000,2019,Automatique,Essence,Land Rover,Range Rover Sport,5,Oui,Très bon,184999,12
475000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,184999,8
490000,2012,Automatique,Essence,Toyota,Tundra,5,Non,Excellent,124999,32
650000,2023,Automatique,Essence,Audi,Q5,5,Non,Très bon,104999,8
650000,2022,Automatique,Essence,Volkswagen,Touareg,5,Oui,Excellent,97499,12
680000,2021,Automatique,Essence,Audi,Q8,5,Oui,Excellent,72499,12
650000,2019,Automatique,Essence,Land Rover,Range Rover,5,Non,Excellent,114999,12
490000,2022,Automatique,Essence,Volvo,XC90,5,Oui,Excellent,52499,9
650000,2022,Automatique,Essence,Volkswagen,Touareg,5,Non,Excellent,42499,11
685000,2019,Automatique,Essence,Porsche,Cayenne,5,Oui,Très bon,154999,17
660000,2021,Automatique,Essence,Audi,Q5,5,Oui,Excellent,72499,8
470000,2016,Automatique,Essence,Porsche,Cayenne,5,Non,Très bon,134999,12
520000,2019,Automatique,Essence,Audi,Q5,5,Oui,Excellent,82499,12
480000,2020,Automatique,Essence,BMW,X5,5,Oui,Excellent,124999,8
505000,2024,Automatique,Essence,Alfa Romeo,Giulia,5,Oui,Excellent,2499,9
530000,2022,Automatique,Electrique,Tesla,Model Y,5,Oui,Excellent,42499,11
2000000,2023,Manuelle,Essence,Hyundai,Accent,5,Oui,Excellent,47499,6
690000,2022,Automatique,Essence,Audi,A3,5,Non,Neuf,62499,9
820000,2024,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Neuf,2499,8
820000,2024,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Neuf,2499,8
525000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,114999,8
525000,2021,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,114999,8
880000,2023,Automatique,Essence,Audi,A3,5,Oui,Très bon,7499,11
920000,2024,Automatique,Essence,Audi,Q3,5,Oui,Très bon,12499,8
610000,2020,Automatique,Essence,Porsche,Macan,5,Oui,Excellent,77499,11
470000,2023,Automatique,Essence,Volkswagen,Tiguan,5,Oui,Excellent,52499,11
680000,2024,Automatique,Essence,Audi,A6,5,Oui,Excellent,7499,8
570000,2020,Automatique,diesel,Mercedes-Benz,300,5,Oui,Très bon,164999,8
2420000,2015,Automatique,Essence,Audi,A3,5,Non,Excellent,194999,8
700000,2023,Automatique,Essence,Mercedes-Benz,220,5,Oui,Excellent,42499,41
900000,2022,Automatique,Essence,Audi,Q8,5,Oui,Excellent,32499,12
550000,1990,Manuelle,Essence,Volkswagen,Jetta,5,Non,Très bon,32499,6
470000,2019,Automatique,Essence,Land Rover,Range Rover Sport,3,Non,Très bon,104999,12
